Date,Clicks,Impressions,CTR,Position
2026-06-06,2,60,3.33%,14.8
2026-06-07,2,80,2.5%,8.7
2026-06-08,0,88,0%,9.2
2026-06-09,1,67,1.49%,11.2
2026-06-10,1,63,1.59%,12.1
2026-06-11,0,62,0%,12.6
2026-06-12,0,74,0%,10.5
2026-06-13,0,21,0%,13.2
2026-06-14,2,31,6.45%,13.5
2026-06-15,1,57,1.75%,9.4
2026-06-16,0,47,0%,11.8
2026-06-17,0,55,0%,15.8
2026-06-18,0,31,0%,11.3
2026-06-19,0,71,0%,11.1
2026-06-20,0,22,0%,15.2
2026-06-21,0,77,0%,25.6
2026-06-22,0,60,0%,16.2
2026-06-23,0,52,0%,10.2
2026-06-24,0,50,0%,11.1
2026-06-25,0,57,0%,14.9
2026-06-26,0,71,0%,17.5
2026-06-27,0,57,0%,19.2
2026-06-28,0,47,0%,22
2026-06-29,0,73,0%,20.8
2026-06-30,0,79,0%,19.3
2026-07-01,2,83,2.41%,17
2026-07-02,0,75,0%,18.3
2026-07-03,0,55,0%,17
2026-07-04,0,43,0%,18.3
2026-07-05,0,40,0%,22.7
2026-07-06,1,65,1.54%,14.6
2026-07-07,0,50,0%,16.6
2026-07-08,1,66,1.52%,19.4
2026-07-09,1,95,1.05%,19.4
2026-07-10,1,167,0.6%,23.5
2026-07-11,0,146,0%,24.5
2026-07-12,0,132,0%,24.8
2026-07-13,2,124,1.61%,21.1
2026-07-14,2,137,1.46%,21
2026-07-15,0,141,0%,17.6
2026-07-16,0,83,0%,19.1
2026-07-17,0,84,0%,17.2
2026-07-18,1,57,1.75%,19.5
2026-07-19,0,75,0%,20.1
2026-07-20,1,112,0.89%,15.2
2026-07-21,1,102,0.98%,20.3
2026-07-22,0,132,0%,16
2026-07-23,0,108,0%,18.4
2026-07-24,1,131,0.76%,19
2026-07-25,0,117,0%,18.9
2026-07-26,0,128,0%,20.7
2026-07-27,0,172,0%,21.6
2026-07-28,1,167,0.6%,21.7
2026-07-29,1,132,0.76%,21.1
2026-07-30,0,163,0%,22
2026-07-31,0,125,0%,19.8
2026-08-01,0,143,0%,26.5
2026-08-02,0,115,0%,28.2
2026-08-03,0,135,0%,21.4
2026-08-04,1,108,0.93%,20.3
2026-08-05,0,151,0%,23.9
2026-08-06,0,116,0%,23.5
2026-08-07,0,76,0%,22
2026-08-08,0,37,0%,20
2026-08-09,0,136,0%,26.6
2026-08-10,0,154,0%,24.3
2026-08-11,1,167,0.6%,24.2
2026-08-12,1,64,1.56%,24
2026-08-13,1,80,1.25%,24.4
2026-08-14,0,46,0%,34.4
2026-08-15,0,43,0%,35.1
2026-08-16,0,41,0%,42
2026-08-17,0,57,0%,28.6
2026-08-18,1,69,1.45%,20.5
2026-08-19,1,27,3.7%,26.3
2026-08-20,1,40,2.5%,23.7
2026-08-21,0,78,0%,37.7
2026-08-22,0,43,0%,44.3
2026-08-23,0,50,0%,47.7
2026-08-24,0,54,0%,51.9
2026-08-25,0,80,0%,49.3
2026-08-26,1,77,1.3%,50.7
2026-08-27,1,66,1.52%,54.9
2026-08-28,0,50,0%,58
2026-08-29,0,77,0%,57.4
2026-08-30,0,66,0%,56.7
2026-08-31,1,78,1.28%,45.9
2026-09-01,0,42,0%,56.2
2026-09-02,0,57,0%,47.1
2026-09-03,0,50,0%,43.1
2026-09-04,0,53,0%,47.2
2026-09-05,0,49,0%,74
