Country,Clicks,Impressions,CTR,Position
India,4,495,0.81%,11.92
Colombia,2,3,66.67%,2.33
United States,1,738,0.14%,39.17
Netherlands,1,155,0.65%,31.71
France,1,99,1.01%,39.01
Australia,1,35,2.86%,37.26
Spain,1,27,3.7%,12.89
Pakistan,1,21,4.76%,40.62
Portugal,1,13,7.69%,8.92
Hong Kong,1,6,16.67%,9.33
Germany,0,201,0%,31.88
Belgium,0,194,0%,39.69
United Kingdom,0,172,0%,61.54
Austria,0,91,0%,35.33
Canada,0,59,0%,32
Bangladesh,0,44,0%,13.66
Vietnam,0,43,0%,23.65
Indonesia,0,36,0%,17.11
Ukraine,0,31,0%,37.35
Sweden,0,24,0%,15.67
Brazil,0,24,0%,17.08
Russia,0,21,0%,20.9
Poland,0,21,0%,42.29
Denmark,0,20,0%,9.1
Mexico,0,20,0%,22.4
Finland,0,16,0%,9.69
Thailand,0,16,0%,20.31
Philippines,0,15,0%,23.53
Morocco,0,12,0%,21.75
Turkey,0,12,0%,24.42
Switzerland,0,9,0%,8.78
Norway,0,9,0%,9.33
Malaysia,0,9,0%,25.22
Jordan,0,7,0%,22
Croatia,0,6,0%,7.33
Singapore,0,6,0%,9.83
Israel,0,5,0%,6.8
Bulgaria,0,5,0%,7
China,0,5,0%,8
Estonia,0,5,0%,8.4
Taiwan,0,4,0%,4.5
Czechia,0,4,0%,8.25
South Africa,0,4,0%,9.5
Algeria,0,4,0%,14.5
Italy,0,4,0%,16.25
Palestine,0,4,0%,17.25
Egypt,0,3,0%,6.67
Iran,0,3,0%,8.67
Hungary,0,3,0%,9.67
Argentina,0,3,0%,10.33
Ecuador,0,3,0%,12.67
Japan,0,3,0%,25.33
Saudi Arabia,0,3,0%,26.33
South Korea,0,3,0%,48.33
Ireland,0,2,0%,5
Guatemala,0,2,0%,5.5
Sri Lanka,0,2,0%,6
United Arab Emirates,0,2,0%,8
Georgia,0,2,0%,9
Lithuania,0,2,0%,9
Chile,0,2,0%,9.5
Kuwait,0,2,0%,9.5
Barbados,0,2,0%,10
Ethiopia,0,2,0%,11.5
Nigeria,0,2,0%,20
Iraq,0,2,0%,20.5
Kenya,0,1,0%,1
Moldova,0,1,0%,2
Venezuela,0,1,0%,7
Uganda,0,1,0%,8
Cyprus,0,1,0%,9
Haiti,0,1,0%,9
Lesotho,0,1,0%,9
Malta,0,1,0%,9
Serbia,0,1,0%,9
Slovakia,0,1,0%,9
Burkina Faso,0,1,0%,10
Greece,0,1,0%,10
Grenada,0,1,0%,10
Slovenia,0,1,0%,10
Albania,0,1,0%,11
Peru,0,1,0%,11
Dominican Republic,0,1,0%,25
New Zealand,0,1,0%,33
Paraguay,0,1,0%,37
